representation,k,n,min_cluster_n,max_cluster_n,cluster_size_cv,silhouette,project_cramers_v,diagnosis_cramers_v,n_C1,n_C2,n_C3,n_C4,n_C5,n_C6
raw,2,104,28,76,0.46153846153846156,0.49614543667745503,0.03384850730051955,0.0775811508435096,76,28,,,,
raw,3,104,5,75,0.8525761518331113,0.5227895775451539,0.12860669710276576,0.07601723178740152,75,24,5.0,,,
raw,4,104,5,49,0.7740235306730041,0.44243612681979927,0.3603698539313227,0.13020778951001766,49,43,5.0,7.0,,
raw,5,104,5,49,0.7706717272889952,0.45138860097532085,0.3794389917715808,0.11629676644619204,25,49,19.0,5.0,6.0,
raw,6,104,5,36,0.6299361290061232,0.43911319194397463,0.3790554428669537,0.26285829977604364,26,36,14.0,17.0,5.0,6.0
