representation,k,n,min_cluster_n,max_cluster_n,cluster_size_cv,silhouette,project_cramers_v,diagnosis_cramers_v,n_C1,n_C2,n_C3,n_C4,n_C5,n_C6
clr,2,104,20,84,0.6153846153846154,0.7239981129065458,0.07142857142857144,0.10965861582662817,20,84,,,,
clr,3,104,6,80,0.9354143466934853,0.7881189868700703,0.20140051964225245,0.08703882797784894,6,18,80.0,,,
clr,4,104,2,78,1.1766968108291043,0.826461712406473,0.23457718351633228,0.09174698042719673,6,18,78.0,2.0,,
clr,5,104,2,78,1.4047678744422825,0.8503978443402078,0.23457718351633228,0.09174698042719673,2,4,18.0,78.0,2.0,
clr,6,104,2,55,1.0791529112767846,0.5080561281579984,0.2363039461583106,0.19984223425753897,2,4,55.0,18.0,23.0,2.0
