model,ecological_context_k2,n_transitions,mae,rmse,mean_residual,coverage_50,coverage_80,coverage_95,pit_mean,pit_sd,coverage50_minus_nominal,coverage80_minus_nominal,coverage95_minus_nominal,pit_mean_minus_0p5
M_0,B/Myeloid-shifted,38,0.2716654092220259,0.3176042472570418,-0.04790335975222065,0.7368421052631579,0.868421052631579,0.868421052631579,0.410125,0.2687290296658237,0.23684210526315785,0.06842105263157894,-0.08157894736842097,-0.08987499999999998
M_0,TNK-dominant,169,0.27437957942975494,0.3366579462201269,0.01211062165646531,0.7514792899408284,0.834319526627219,0.8402366863905325,0.46627958579881656,0.2815170997784762,0.25147928994082835,0.03431952662721893,-0.10976331360946745,-0.033720414201183435
M_B,B/Myeloid-shifted,38,0.237314286404993,0.31453322781920035,0.02843343063098189,0.6052631578947368,0.868421052631579,0.9210526315789473,0.4790756578947369,0.267429522383231,0.10526315789473684,0.06842105263157894,-0.02894736842105261,-0.020924342105263116
M_B,TNK-dominant,169,0.26939995352924234,0.3286578270208786,-0.005627784087672881,0.48520710059171596,0.834319526627219,0.9349112426035503,0.4523195266272189,0.27853203991248526,-0.014792899408284044,0.03431952662721893,-0.015088757396449659,-0.047680473372781085
M_C,B/Myeloid-shifted,38,0.24968688420364513,0.31424376672165816,-0.0018967694594169459,0.7368421052631579,0.868421052631579,0.868421052631579,0.4492236842105263,0.25763347557083577,0.23684210526315785,0.06842105263157894,-0.08157894736842097,-0.050776315789473725
M_C,TNK-dominant,169,0.27751542906935217,0.3359744767887344,0.0010978658145965933,0.5739644970414202,0.834319526627219,0.863905325443787,0.4577640532544379,0.28288376780015617,0.07396449704142016,0.03431952662721893,-0.086094674556213,-0.04223594674556208
M_E,B/Myeloid-shifted,38,0.2516024866895636,0.3200219233884057,-0.009723888516422483,0.631578947368421,0.9210526315789473,0.9210526315789473,0.4645986842105263,0.2495200903157797,0.13157894736842102,0.1210526315789473,-0.02894736842105261,-0.0354013157894737
M_E,TNK-dominant,169,0.2674531702146601,0.3278741025160293,-0.0001834103844254575,0.4911242603550296,0.834319526627219,0.9112426035502958,0.45657988165680474,0.2804043634614129,-0.008875739644970404,0.03431952662721893,-0.03875739644970411,-0.04342011834319526
