model,active_predictors,n_predictors,divergences,max_rhat,min_ess_bulk,min_ess_tail,elpd_loo,se_elpd_loo,p_loo,n_pareto_gt_0_5,n_pareto_gt_0_7,n_pareto_gt_1_0,max_pareto_k,delta_elpd_vs_M0,pareto_diagnostic
M_0,,0,0,1.0,3085.0,3400.0,-76.89591679638961,15.973426748036768,6.002890455536544,1,1,1,1.06266061966774,0.0,>1.0: very high
M_B,B_z,1,0,1.0,4157.0,4081.0,-73.46691759618287,16.696167410429517,8.24973596117141,1,1,1,1.015911468011487,3.4289992002067464,>1.0: very high
M_M,Myeloid_z,1,0,1.0,4089.0,4347.0,-77.97584058089541,15.890779436085811,7.555971020280197,1,1,0,0.8921701130809121,-1.0799237845057945,0.7–1.0: high
M_E,B_z|Myeloid_z,2,0,1.0,5226.0,4406.0,-74.68064344043978,17.755180871307996,11.47920954128088,2,1,1,1.032618239948657,2.215273355949833,>1.0: very high
M_C,Context_z,1,0,1.0,4630.0,4474.0,-78.12640358919312,15.686055927904206,7.736341901793153,1,1,0,0.7517087590110222,-1.2304867928035037,0.7–1.0: high
M_EC,B_z|Myeloid_z|Context_z,3,0,1.0,4108.0,4228.0,-77.2589968570475,18.255847257848327,14.397264921692027,3,2,1,1.1719039613484377,-0.363080060657893,>1.0: very high
M_S,ShuffledContext_z,1,0,1.0,5654.0,4465.0,-77.15719682022265,16.06257951079099,8.174951292291851,1,1,0,0.778478474926482,-0.26128002383303794,0.7–1.0: high
