model,parameter,predictor,mean,sd,median,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0,favored_direction,posterior_direction_probability
N_B,beta,B_z,-0.3333180639268625,0.1602719960218538,-0.3335411912296656,-0.6517184346254213,-0.0242385570187101,0.018875,0.981125,negative,0.981125
N_E,beta,B_z,-0.3250559328049311,0.1679093282704558,-0.3226919191119294,-0.6399465795851407,0.0092118251541327,0.022375,0.977625,negative,0.977625
N_E,beta,Myeloid_z,-0.1783052091505433,0.1394204825407033,-0.1742608350520034,-0.4505084926345534,0.0952654323493996,0.09475,0.90525,negative,0.90525
N_C,beta,Context_z,-0.2020752394578353,0.1546878022100861,-0.2025917730684839,-0.5100861996717639,0.0941531880255317,0.09475,0.90525,negative,0.90525
N_EC,beta,B_z,-0.3979948132095467,0.2046389536134661,-0.3970017502890089,-0.8025215539834817,-0.0121567143768601,0.02325,0.97675,negative,0.97675
N_EC,beta,Myeloid_z,-0.2425902920446347,0.1747266391913015,-0.2393347289735807,-0.5724249353701335,0.1065978503022204,0.0795,0.9205,negative,0.9205
N_EC,beta,Context_z,0.1421147108748124,0.2301901559991039,0.1402283621310247,-0.3047866481755518,0.5894134145410145,0.736375,0.263625,positive,0.736375
