model,n_transitions,mae,rmse,mean_residual,coverage_50,coverage_80,coverage_95,pit_mean,pit_sd,coverage50_minus_nominal,coverage80_minus_nominal,coverage95_minus_nominal,pit_mean_minus_0p5,pit_sd_minus_uniform
M_0,207,0.2738813259616695,0.3332418149333858,0.0010935622674311,0.748792270531401,0.8405797101449275,0.8454106280193237,0.4559710144927536,0.2794247803857524,0.24879227053140096,0.04057971014492745,-0.1045893719806763,-0.044028985507246376,-0.009250354209060452
M_B,207,0.2635098310619889,0.3261107531005954,0.0006249992906308,0.5072463768115942,0.8405797101449275,0.932367149758454,0.4572312801932366,0.2760843807280115,0.007246376811594235,0.04057971014492745,-0.017632850241545928,-0.04276871980676339,-0.012590753866801363
M_C,207,0.2724068073065654,0.3320918401952634,0.0005481260058404,0.6038647342995169,0.8405797101449275,0.8647342995169082,0.4561962560386473,0.2778387471949011,0.10386473429951693,0.04057971014492745,-0.08526570048309179,-0.043803743961352726,-0.010836387399911773
M_E,207,0.2645433829008743,0.3264467936102169,-0.0019348025052751,0.5169082125603864,0.8502415458937198,0.9130434782608696,0.4580519323671497,0.2744358296501431,0.016908212560386437,0.05024154589371976,-0.03695652173913033,-0.041948067632850305,-0.01423930494466974
