model,epsilon,parameter,predictor,mean,sd,median,hdi_2.5%,hdi_97.5%,p_gt_0,p_lt_0,favored_direction,posterior_direction_probability
X_B_eps_0p01,0.01,beta_mu,B_z,-0.4308292251773424,0.1803847257509928,-0.4293095435239681,-0.7902928469904826,-0.0796350302373665,0.009125,0.990875,negative,0.990875
X_B_eps_0p01,0.01,beta_theta,B_z,0.2343473373530491,0.1056132425367769,0.2359905721532579,0.0238876750496889,0.4389992112289897,0.984125,0.015875,positive,0.984125
X_E_eps_0p01,0.01,beta_mu,B_z,-0.4817373476462777,0.1795996276997141,-0.4808292029811273,-0.8365557418892716,-0.1341654785601458,0.003625,0.996375,negative,0.996375
X_E_eps_0p01,0.01,beta_mu,Myeloid_z,0.3060769810700206,0.2296625974674039,0.2985658373483859,-0.1338882476101342,0.7688562060692851,0.91125,0.08875,positive,0.91125
X_E_eps_0p01,0.01,beta_theta,B_z,0.2903785771345557,0.1049034377506439,0.2899124192013333,0.0847533721586589,0.4945346222243832,0.997375,0.002625,positive,0.997375
X_E_eps_0p01,0.01,beta_theta,Myeloid_z,-0.2535702649483486,0.1245739386794269,-0.2449591844335751,-0.5023634953136942,-0.0228272080507104,0.011,0.989,negative,0.989
X_C_eps_0p01,0.01,beta_mu,Context_z,-0.1651276256204197,0.1804061746621658,-0.1640274449142098,-0.5059983792120729,0.1920507717374162,0.181375,0.818625,negative,0.818625
X_C_eps_0p01,0.01,beta_theta,Context_z,0.0351101349283645,0.1040706474414423,0.0366810689489422,-0.1760484090170652,0.230965040304402,0.645,0.355,positive,0.645
X_B_eps_0p025,0.025,beta_mu,B_z,-0.3951852164701242,0.1661823234555603,-0.3937051442523339,-0.7086104150366223,-0.0559130412397144,0.007,0.993,negative,0.993
X_B_eps_0p025,0.025,beta_theta,B_z,0.2137378293013504,0.1066396909449917,0.2149276634225942,0.0027616084399902,0.4145161111236311,0.978125,0.021875,positive,0.978125
X_E_eps_0p025,0.025,beta_mu,B_z,-0.4405246028811147,0.1641489608598526,-0.4386138158524567,-0.7600386616293315,-0.1251235865786779,0.002625,0.997375,negative,0.997375
X_E_eps_0p025,0.025,beta_mu,Myeloid_z,0.2501925924831071,0.2083624194466065,0.2414837711928311,-0.145726378980265,0.6779954749870648,0.890625,0.109375,positive,0.890625
X_E_eps_0p025,0.025,beta_theta,B_z,0.2621029231499874,0.1081529221338598,0.2630142910894268,0.0561775094446133,0.4756704465666191,0.991,0.009,positive,0.991
X_E_eps_0p025,0.025,beta_theta,Myeloid_z,-0.2406029765509474,0.1202079638915752,-0.2322090757401514,-0.4815471072786577,-0.0144938212860208,0.012125,0.987875,negative,0.987875
X_C_eps_0p025,0.025,beta_mu,Context_z,-0.1560006360683956,0.1607644310435752,-0.1566735941531022,-0.4813057614717513,0.1385255817928108,0.169,0.831,negative,0.831
X_C_eps_0p025,0.025,beta_theta,Context_z,0.0276667594007344,0.1041324480609182,0.0313453513517591,-0.173464084935945,0.2284494634712814,0.613625,0.386375,positive,0.613625
X_B_eps_0p05,0.05,beta_mu,B_z,-0.3680565261066527,0.1484348217970623,-0.3653087542158384,-0.6627439149556115,-0.0870008985476266,0.00675,0.99325,negative,0.99325
X_B_eps_0p05,0.05,beta_theta,B_z,0.1875932629692805,0.1049595749792728,0.1881856956380569,-0.0282525556972222,0.3838584943371062,0.96225,0.03775,positive,0.96225
X_E_eps_0p05,0.05,beta_mu,B_z,-0.40465773064189,0.1463398111911371,-0.4047625895184208,-0.6940507484905133,-0.1258371372194807,0.00275,0.99725,negative,0.99725
X_E_eps_0p05,0.05,beta_mu,Myeloid_z,0.2091254797852595,0.1867761104375506,0.2007525786859114,-0.1433961216571756,0.5928845043804585,0.878125,0.121875,positive,0.878125
X_E_eps_0p05,0.05,beta_theta,B_z,0.2360525889703451,0.106869043503487,0.2358218745140587,0.0265941648605943,0.4445057595219538,0.986375,0.013625,positive,0.986375
X_E_eps_0p05,0.05,beta_theta,Myeloid_z,-0.2314858576009794,0.1226875377477753,-0.2230648950791452,-0.4695755385819337,0.0079184312211914,0.017875,0.982125,negative,0.982125
X_C_eps_0p05,0.05,beta_mu,Context_z,-0.1473688338316212,0.1475078735332125,-0.1456892347298562,-0.439053236191569,0.1304224862502205,0.158,0.842,negative,0.842
X_C_eps_0p05,0.05,beta_theta,Context_z,0.0197030476610314,0.1038896497244112,0.023744618352419,-0.1878995000807614,0.2154751312720621,0.583625,0.416375,positive,0.583625
