predictor,mean,sd_population,transformed_column
B,0.22629619846893698,0.1252106930889891,B_z
Myeloid,0.10906279436710958,0.12950619706221103,Myeloid_z
Context_numeric,0.20588235294117646,0.40434491426080943,Context_z
ShuffledContext_numeric,0.20588235294117646,0.40434491426080943,ShuffledContext_z
