representation,k,n,min_cluster_n,max_cluster_n,cluster_size_cv,silhouette,project_cramers_v,n_C1,n_C2,n_C3,n_C4,n_C5,n_C6
clr,2,99,20,79,0.5959595959595959,0.7173039802471332,0.1382040580578327,20,79,,,,
clr,3,99,6,75,0.9121161783813583,0.7846050461843633,0.27599746950760834,6,18,75.0,,,
clr,4,99,2,73,1.1504070514571982,0.8247003977167132,0.318044689375716,6,18,73.0,2.0,,
clr,5,99,2,73,1.3770014697334927,0.8498319739667441,0.318044689375716,2,4,18.0,73.0,2.0,
clr,6,99,2,53,1.0851418823387253,0.5259815196636975,0.3251315765631918,2,4,53.0,18.0,20.0,2.0
