representation,k,n,min_cluster_n,max_cluster_n,cluster_size_cv,silhouette,project_cramers_v,n_C1,n_C2,n_C3,n_C4,n_C5,n_C6
raw,2,99,26,73,0.47474747474747475,0.5055478574594886,0.003879876249440704,73,26,,,,
raw,3,99,5,72,0.8617292428784307,0.5355250671101515,0.10302950725437528,72,22,5.0,,,
raw,4,99,6,45,0.7397222873082692,0.43660318559137234,0.4607496602636909,45,41,6.0,7.0,,
raw,5,99,5,47,0.774161868943827,0.45390821877757265,0.4670297292290816,24,47,17.0,5.0,6.0,
raw,6,99,5,35,0.6440136617897002,0.44468022415284547,0.46996888013922766,25,35,12.0,16.0,5.0,6.0
