model,n_transitions,mae,rmse,mean_residual,coverage_50,coverage_80,coverage_95,pit_mean,pit_sd
M_0,207,0.2738813259616695,0.33324181493338584,0.0010935622674311516,0.748792270531401,0.8405797101449275,0.8454106280193237,0.4559710144927536,0.27942478038575247
M_B,207,0.2635098310619889,0.32611075310059545,0.0006249992906308773,0.5072463768115942,0.8405797101449275,0.9323671497584541,0.45723128019323667,0.27608438072801156
M_C,207,0.2724068073065654,0.3320918401952634,0.0005481260058404654,0.6038647342995169,0.8405797101449275,0.8647342995169082,0.45619625603864733,0.27783874719490115
M_E,207,0.2645433829008743,0.32644679361021695,-0.0019348025052751696,0.5169082125603864,0.8502415458937198,0.9130434782608695,0.45805193236714975,0.2744358296501431
