model,ecological_context_k2,n_transitions,mae,rmse,coverage_95,mean_residual
M_0,B/Myeloid-shifted,38,0.271665409222026,0.3176042472570419,0.868421052631579,-0.04790335975222068
M_0,TNK-dominant,169,0.27437957942975494,0.33665794622012696,0.8402366863905325,0.01211062165646529
M_B,B/Myeloid-shifted,38,0.23731428640499305,0.3145332278192004,0.9210526315789473,0.02843343063098187
M_B,TNK-dominant,169,0.26939995352924234,0.32865782702087865,0.9349112426035503,-0.005627784087672897
M_C,B/Myeloid-shifted,38,0.24968688420364518,0.3142437667216582,0.868421052631579,-0.0018967694594169634
M_C,TNK-dominant,169,0.27751542906935217,0.3359744767887345,0.863905325443787,0.0010978658145965735
M_E,B/Myeloid-shifted,38,0.2516024866895636,0.32002192338840574,0.9210526315789473,-0.0097238885164225
M_E,TNK-dominant,169,0.26745317021466014,0.32787410251602933,0.9112426035502958,-0.00018341038442547196
