model_A,model_B,mean_delta_elpd_A_minus_B,total_delta_elpd_A_minus_B,se_delta,n_participants,n_A_better,n_B_better,n_ties
X_0,X_B,-0.08964002446751139,-3.047760831895387,0.15155853848423004,34,12,22,0
X_0,X_C,0.046664783165958006,1.5866026276425722,0.03542764807140174,34,19,15,0
X_0,X_E,-0.06334912520962584,-2.1538702571272785,0.17444359978137694,34,14,20,0
X_B,X_C,0.1363048076334694,4.634363459537959,0.13729711544765927,34,23,11,0
X_B,X_E,0.026290899257885546,0.8938905747681085,0.1304569328306311,34,15,19,0
X_C,X_E,-0.11001390837558385,-3.7404728847698507,0.1629151570543441,34,14,20,0
