ecological_context_k2,n_participants,mean_TNK,mean_B,mean_Myeloid,n_transitions
B/Myeloid-shifted,7,0.35540057380152634,0.3991807569939959,0.2454186692044776,38
TNK-dominant,27,0.7448144528505084,0.18147427588836612,0.0737112712611253,169
