,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.318,0.025,0.272,0.366,0.0,0.0,5630.0,4347.0,1.0
theta_0,4.213,0.213,3.806,4.6,0.003,0.003,4089.0,4439.0,1.0
sigma_proc,3.942,0.384,3.262,4.668,0.006,0.005,4252.0,4676.0,1.0
beta_mu[Myeloid_z],0.013,0.027,-0.041,0.062,0.0,0.0,5326.0,4407.0,1.0
beta_theta[Myeloid_z],-0.127,0.098,-0.306,0.056,0.001,0.001,5115.0,5139.0,1.0
