,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.323,0.025,0.275,0.37,0.0,0.0,6046.0,5346.0,1.0
theta_0,4.208,0.224,3.816,4.655,0.003,0.003,5226.0,4846.0,1.0
sigma_proc,3.852,0.394,3.128,4.598,0.005,0.005,5268.0,4406.0,1.0
beta_mu[B_z],-0.073,0.026,-0.121,-0.023,0.0,0.0,6137.0,5412.0,1.0
beta_mu[Myeloid_z],0.034,0.033,-0.027,0.095,0.0,0.0,6674.0,4580.0,1.0
beta_theta[B_z],0.199,0.11,-0.004,0.406,0.001,0.001,6811.0,5259.0,1.0
beta_theta[Myeloid_z],-0.206,0.112,-0.414,-0.0,0.001,0.001,6596.0,5146.0,1.0
