,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.317,0.024,0.271,0.362,0.0,0.0,6723.0,5257.0,1.0
theta_0,4.245,0.219,3.848,4.66,0.003,0.003,4182.0,4081.0,1.0
sigma_proc,3.9,0.391,3.187,4.617,0.006,0.005,4157.0,4227.0,1.0
beta_mu[B_z],-0.066,0.026,-0.115,-0.018,0.0,0.0,5908.0,4407.0,1.0
beta_theta[B_z],0.157,0.108,-0.045,0.358,0.001,0.001,5964.0,4984.0,1.0
