,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.324,0.026,0.276,0.374,0.0,0.0,6815.0,4984.0,1.0
theta_0,4.206,0.221,3.804,4.637,0.003,0.003,4108.0,4259.0,1.0
sigma_proc,3.854,0.39,3.126,4.579,0.006,0.005,4424.0,4388.0,1.0
beta_mu[B_z],-0.093,0.037,-0.162,-0.025,0.001,0.0,4677.0,5462.0,1.0
beta_mu[Myeloid_z],0.019,0.037,-0.05,0.088,0.001,0.0,4491.0,5088.0,1.0
beta_mu[Context_z],0.03,0.04,-0.044,0.104,0.001,0.0,4556.0,5449.0,1.0
beta_theta[B_z],0.182,0.138,-0.076,0.446,0.002,0.002,4931.0,4973.0,1.0
beta_theta[Myeloid_z],-0.209,0.123,-0.451,0.007,0.002,0.001,4751.0,4228.0,1.0
beta_theta[Context_z],0.003,0.145,-0.284,0.258,0.002,0.002,4542.0,4735.0,1.0
