,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.314,0.024,0.268,0.359,0.0,0.0,5745.0,5154.0,1.0
theta_0,4.23,0.217,3.804,4.614,0.003,0.003,5654.0,5029.0,1.0
sigma_proc,3.928,0.392,3.221,4.662,0.005,0.005,6042.0,5089.0,1.0
beta_mu[ShuffledContext_z],-0.038,0.024,-0.085,0.005,0.0,0.0,6852.0,4465.0,1.0
beta_theta[ShuffledContext_z],0.09,0.102,-0.112,0.272,0.001,0.001,7011.0,4866.0,1.0
