,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.315,0.025,0.268,0.361,0.0,0.0,5755.0,4833.0,1.0
theta_0,4.222,0.215,3.829,4.624,0.003,0.003,4630.0,4644.0,1.0
sigma_proc,3.95,0.389,3.245,4.685,0.006,0.005,4858.0,4878.0,1.0
beta_mu[Context_z],-0.024,0.025,-0.072,0.021,0.0,0.0,6671.0,4474.0,1.0
beta_theta[Context_z],0.019,0.103,-0.173,0.208,0.001,0.001,6393.0,5000.0,1.0
