,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_0,0.316,0.024,0.272,0.362,0.0,0.0,3350.0,3468.0,1.0
theta_0,4.23,0.213,3.839,4.633,0.004,0.003,3135.0,3449.0,1.0
sigma_proc,3.95,0.388,3.278,4.715,0.007,0.006,3085.0,3400.0,1.0
