project,scpca_sample_id,annotation_column,original_annotation,broad_class,cell_count,cell_fraction
SCPCP000008,SCPCS000124,submitter_celltype_annotation,Submitter-excluded,Excluded,12169,1.0
SCPCP000008,SCPCS000125,submitter_celltype_annotation,Submitter-excluded,Excluded,7084,1.0
SCPCP000008,SCPCS000126,submitter_celltype_annotation,Submitter-excluded,Excluded,6913,1.0
SCPCP000008,SCPCS000127,submitter_celltype_annotation,Submitter-excluded,Excluded,10922,1.0
SCPCP000008,SCPCS000128,submitter_celltype_annotation,Submitter-excluded,Excluded,13901,1.0
SCPCP000008,SCPCS000212,submitter_celltype_annotation,Submitter-excluded,Excluded,6323,0.5045483562081072
SCPCP000008,SCPCS000212,submitter_celltype_annotation,Blast,Blast_Malignant,5537,0.4418289179699968
SCPCP000008,SCPCS000212,submitter_celltype_annotation,T_NK,TNK,349,0.027848707309288224
SCPCP000008,SCPCS000212,submitter_celltype_annotation,B,B,178,0.014203638684966486
SCPCP000008,SCPCS000212,submitter_celltype_annotation,Monocyte,Myeloid,120,0.009575486753909991
SCPCP000008,SCPCS000212,submitter_celltype_annotation,HSC/MPP and pro.,Progenitor,25,0.001994893073731248
SCPCP000008,SCPCS000213,submitter_celltype_annotation,Blast,Blast_Malignant,7778,0.6975159178549009
SCPCP000008,SCPCS000213,submitter_celltype_annotation,Submitter-excluded,Excluded,3252,0.29163303739574925
SCPCP000008,SCPCS000213,submitter_celltype_annotation,T_NK,TNK,79,0.007084566406600305
SCPCP000008,SCPCS000213,submitter_celltype_annotation,B,B,19,0.0017038830598152632
SCPCP000008,SCPCS000213,submitter_celltype_annotation,Erythroid,Erythroid,14,0.0012554927809165098
SCPCP000008,SCPCS000213,submitter_celltype_annotation,Monocyte,Myeloid,9,0.0008071025020177562
SCPCP000008,SCPCS000214,submitter_celltype_annotation,Blast,Blast_Malignant,6036,0.5147535391437831
SCPCP000008,SCPCS000214,submitter_celltype_annotation,Submitter-excluded,Excluded,5540,0.4724543748933993
SCPCP000008,SCPCS000214,submitter_celltype_annotation,T_NK,TNK,105,0.008954460173972369
SCPCP000008,SCPCS000214,submitter_celltype_annotation,Erythroid,Erythroid,27,0.0023025754733071806
SCPCP000008,SCPCS000214,submitter_celltype_annotation,B,B,12,0.0010233668770254136
SCPCP000008,SCPCS000214,submitter_celltype_annotation,Monocyte,Myeloid,5,0.00042640286542725567
SCPCP000008,SCPCS000214,submitter_celltype_annotation,DC,Myeloid,1,8.528057308545113e-05
SCPCP000008,SCPCS000215,submitter_celltype_annotation,Blast,Blast_Malignant,8597,0.6790142958692047
SCPCP000008,SCPCS000215,submitter_celltype_annotation,Submitter-excluded,Excluded,3937,0.310954900876708
SCPCP000008,SCPCS000215,submitter_celltype_annotation,T_NK,TNK,114,0.009004028117842193
SCPCP000008,SCPCS000215,submitter_celltype_annotation,Plasmablast,B,9,0.0007108443250928046
SCPCP000008,SCPCS000215,submitter_celltype_annotation,Monocyte,Myeloid,4,0.00031593081115235765
SCPCP000008,SCPCS000301,submitter_celltype_annotation,Submitter-excluded,Excluded,3857,0.505769735116706
SCPCP000008,SCPCS000301,submitter_celltype_annotation,Blast,Blast_Malignant,3102,0.4067663257277734
SCPCP000008,SCPCS000301,submitter_celltype_annotation,B,B,293,0.03842119066351954
SCPCP000008,SCPCS000301,submitter_celltype_annotation,T_NK,TNK,246,0.03225806451612903
SCPCP000008,SCPCS000301,submitter_celltype_annotation,Monocyte,Myeloid,86,0.011277209546289012
SCPCP000008,SCPCS000301,submitter_celltype_annotation,HSC/MPP and pro.,Progenitor,22,0.002884867558353003
SCPCP000008,SCPCS000301,submitter_celltype_annotation,DC,Myeloid,15,0.001966955153422502
SCPCP000008,SCPCS000301,submitter_celltype_annotation,Plasmablast,B,5,0.0006556517178075007
SCPCP000008,SCPCS000302,submitter_celltype_annotation,Submitter-excluded,Excluded,4850,0.49753795650389826
SCPCP000008,SCPCS000302,submitter_celltype_annotation,Blast,Blast_Malignant,4735,0.48574066475174393
SCPCP000008,SCPCS000302,submitter_celltype_annotation,Erythroid,Erythroid,133,0.01364382437423061
SCPCP000008,SCPCS000302,submitter_celltype_annotation,T_NK,TNK,30,0.0030775543701272055
SCPCP000008,SCPCS000303,submitter_celltype_annotation,Submitter-excluded,Excluded,6359,0.5077451293516448
SCPCP000008,SCPCS000303,submitter_celltype_annotation,Blast,Blast_Malignant,5687,0.4540881507505589
SCPCP000008,SCPCS000303,submitter_celltype_annotation,T_NK,TNK,245,0.01956244011497924
SCPCP000008,SCPCS000303,submitter_celltype_annotation,B,B,120,0.009581603321622485
SCPCP000008,SCPCS000303,submitter_celltype_annotation,Erythroid,Erythroid,85,0.006786969019482594
SCPCP000008,SCPCS000303,submitter_celltype_annotation,Monocyte,Myeloid,28,0.002235707441711913
SCPCP000008,SCPCS000304,submitter_celltype_annotation,Blast,Blast_Malignant,4362,0.5200906164301896
SCPCP000008,SCPCS000304,submitter_celltype_annotation,Submitter-excluded,Excluded,3914,0.46667461547633243
SCPCP000008,SCPCS000304,submitter_celltype_annotation,T_NK,TNK,49,0.005842375104328127
SCPCP000008,SCPCS000304,submitter_celltype_annotation,B,B,36,0.004292357219506379
SCPCP000008,SCPCS000304,submitter_celltype_annotation,Erythroid,Erythroid,17,0.002026946464766901
SCPCP000008,SCPCS000304,submitter_celltype_annotation,Monocyte,Myeloid,9,0.0010730893048765948
SCPCP000008,SCPCS000305,submitter_celltype_annotation,Submitter-excluded,Excluded,12326,0.7361882577793705
SCPCP000008,SCPCS000305,submitter_celltype_annotation,Blast,Blast_Malignant,4078,0.24356447470584722
SCPCP000008,SCPCS000305,submitter_celltype_annotation,T_NK,TNK,231,0.013796810607418025
SCPCP000008,SCPCS000305,submitter_celltype_annotation,Erythroid,Erythroid,57,0.003404407812220032
SCPCP000008,SCPCS000305,submitter_celltype_annotation,B,B,51,0.003046049095144239
SCPCP000008,SCPCS000306,submitter_celltype_annotation,Submitter-excluded,Excluded,10803,0.8061940298507463
SCPCP000008,SCPCS000306,submitter_celltype_annotation,Blast,Blast_Malignant,1673,0.12485074626865672
SCPCP000008,SCPCS000306,submitter_celltype_annotation,T_NK,TNK,572,0.0426865671641791
SCPCP000008,SCPCS000306,submitter_celltype_annotation,B,B,171,0.012761194029850747
SCPCP000008,SCPCS000306,submitter_celltype_annotation,Erythroid,Erythroid,171,0.012761194029850747
SCPCP000008,SCPCS000306,submitter_celltype_annotation,Monocyte,Myeloid,8,0.0005970149253731343
SCPCP000008,SCPCS000306,submitter_celltype_annotation,Plasmablast,B,2,0.00014925373134328358
SCPCP000008,SCPCS000307,submitter_celltype_annotation,Submitter-excluded,Excluded,4099,0.5495374715109264
SCPCP000008,SCPCS000307,submitter_celltype_annotation,Blast,Blast_Malignant,3147,0.42190642177235554
SCPCP000008,SCPCS000307,submitter_celltype_annotation,T_NK,TNK,132,0.017696742190642177
SCPCP000008,SCPCS000307,submitter_celltype_annotation,B,B,54,0.007239576350717254
SCPCP000008,SCPCS000307,submitter_celltype_annotation,Erythroid,Erythroid,27,0.003619788175358627
SCPCP000008,SCPCS000309,submitter_celltype_annotation,Submitter-excluded,Excluded,8229,0.6683180378461788
SCPCP000008,SCPCS000309,submitter_celltype_annotation,Blast,Blast_Malignant,1970,0.15999350280191668
SCPCP000008,SCPCS000309,submitter_celltype_annotation,T_NK,TNK,1478,0.12003573458945829
SCPCP000008,SCPCS000309,submitter_celltype_annotation,B,B,636,0.051652724762446194
SCPCP000008,SCPCS000311,submitter_celltype_annotation,Blast,Blast_Malignant,5263,0.47329136690647483
SCPCP000008,SCPCS000311,submitter_celltype_annotation,Submitter-excluded,Excluded,4987,0.4484712230215827
SCPCP000008,SCPCS000311,submitter_celltype_annotation,T_NK,TNK,445,0.04001798561151079
SCPCP000008,SCPCS000311,submitter_celltype_annotation,B,B,334,0.030035971223021582
SCPCP000008,SCPCS000311,submitter_celltype_annotation,Monocyte,Myeloid,91,0.008183453237410073
SCPCP000008,SCPCS000312,submitter_celltype_annotation,Submitter-excluded,Excluded,8453,0.6956629084026006
SCPCP000008,SCPCS000312,submitter_celltype_annotation,Blast,Blast_Malignant,3225,0.2654102543000576
SCPCP000008,SCPCS000312,submitter_celltype_annotation,Erythroid,Erythroid,261,0.021479713603818614
SCPCP000008,SCPCS000312,submitter_celltype_annotation,T_NK,TNK,160,0.013167640523413711
SCPCP000008,SCPCS000312,submitter_celltype_annotation,B,B,29,0.002386634844868735
SCPCP000008,SCPCS000312,submitter_celltype_annotation,Monocyte,Myeloid,23,0.001892848325240721
SCPCP000008,SCPCS000313,submitter_celltype_annotation,Submitter-excluded,Excluded,7618,0.5721366879459256
SCPCP000008,SCPCS000313,submitter_celltype_annotation,Blast,Blast_Malignant,4937,0.3707848291400676
SCPCP000008,SCPCS000313,submitter_celltype_annotation,T_NK,TNK,480,0.036049568156214795
SCPCP000008,SCPCS000313,submitter_celltype_annotation,B,B,161,0.01209162598573038
SCPCP000008,SCPCS000313,submitter_celltype_annotation,Monocyte,Myeloid,97,0.007285016898235073
SCPCP000008,SCPCS000313,submitter_celltype_annotation,DC,Myeloid,22,0.0016522718738265114
SCPCP000008,SCPCS000314,submitter_celltype_annotation,Blast,Blast_Malignant,5756,0.6266057043326801
SCPCP000008,SCPCS000314,submitter_celltype_annotation,Submitter-excluded,Excluded,2944,0.32048769867189203
SCPCP000008,SCPCS000314,submitter_celltype_annotation,T_NK,TNK,392,0.042673633790550836
SCPCP000008,SCPCS000314,submitter_celltype_annotation,B,B,76,0.008273459612453734
SCPCP000008,SCPCS000314,submitter_celltype_annotation,Erythroid,Erythroid,18,0.001959503592423253
SCPCP000008,SCPCS000315,submitter_celltype_annotation,Submitter-excluded,Excluded,5899,0.5155116665210172
SCPCP000008,SCPCS000315,submitter_celltype_annotation,Blast,Blast_Malignant,5091,0.44490081272393606
SCPCP000008,SCPCS000315,submitter_celltype_annotation,T_NK,TNK,181,0.015817530367910514
SCPCP000008,SCPCS000315,submitter_celltype_annotation,Erythroid,Erythroid,142,0.012409333216813773
SCPCP000008,SCPCS000315,submitter_celltype_annotation,B,B,93,0.008127239360307612
SCPCP000008,SCPCS000315,submitter_celltype_annotation,Monocyte,Myeloid,37,0.003233417810014856
SCPCP000008,SCPCS000316,submitter_celltype_annotation,Blast,Blast_Malignant,4514,0.572261663286004
SCPCP000008,SCPCS000316,submitter_celltype_annotation,Submitter-excluded,Excluded,3233,0.4098630831643002
SCPCP000008,SCPCS000316,submitter_celltype_annotation,T_NK,TNK,114,0.014452332657200811
SCPCP000008,SCPCS000316,submitter_celltype_annotation,Erythroid,Erythroid,14,0.0017748478701825558
SCPCP000008,SCPCS000316,submitter_celltype_annotation,B,B,13,0.0016480730223123732
SCPCP000008,SCPCS000317,submitter_celltype_annotation,Submitter-excluded,Excluded,6359,0.8672940534642662
SCPCP000008,SCPCS000317,submitter_celltype_annotation,Erythroid,Erythroid,549,0.0748772504091653
