project,scpca_sample_id,annotation_column,original_annotation,broad_class,cell_count,cell_fraction
SCPCP000022,SCPCS000653,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,lymphocyte of B lineage,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,erythroid lineage cell,Erythroid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,dendritic cell,Myeloid,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,T cell,TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,0,0.0
SCPCP000022,SCPCS000653,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,Unknown,Unknown,553,0.8290854572713643
SCPCP000022,SCPCS000654,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,54,0.08095952023988005
SCPCP000022,SCPCS000654,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,37,0.05547226386806597
SCPCP000022,SCPCS000654,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,6,0.008995502248875561
SCPCP000022,SCPCS000654,consensus_celltype_annotation,erythrocyte,Erythroid,5,0.0074962518740629685
SCPCP000022,SCPCS000654,consensus_celltype_annotation,mature alpha-beta T cell,TNK,3,0.004497751124437781
SCPCP000022,SCPCS000654,consensus_celltype_annotation,natural killer cell,TNK,3,0.004497751124437781
SCPCP000022,SCPCS000654,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,2,0.0029985007496251873
SCPCP000022,SCPCS000654,consensus_celltype_annotation,erythroid lineage cell,Erythroid,2,0.0029985007496251873
SCPCP000022,SCPCS000654,consensus_celltype_annotation,monocyte,Myeloid,1,0.0014992503748125937
SCPCP000022,SCPCS000654,consensus_celltype_annotation,memory T cell,TNK,1,0.0014992503748125937
SCPCP000022,SCPCS000654,consensus_celltype_annotation,B cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,naive B cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,mature T cell,TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,mature B cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,lymphocyte of B lineage,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,dendritic cell,Myeloid,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,T cell,TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000654,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,Unknown,Unknown,1600,0.954653937947494
SCPCP000022,SCPCS000655,consensus_celltype_annotation,B cell,B,15,0.008949880668257757
SCPCP000022,SCPCS000655,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,12,0.007159904534606206
SCPCP000022,SCPCS000655,consensus_celltype_annotation,monocyte,Myeloid,12,0.007159904534606206
SCPCP000022,SCPCS000655,consensus_celltype_annotation,natural killer cell,TNK,10,0.0059665871121718375
SCPCP000022,SCPCS000655,consensus_celltype_annotation,T cell,TNK,9,0.0053699284009546535
SCPCP000022,SCPCS000655,consensus_celltype_annotation,erythroid lineage cell,Erythroid,4,0.002386634844868735
SCPCP000022,SCPCS000655,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,3,0.0017899761336515514
SCPCP000022,SCPCS000655,consensus_celltype_annotation,erythrocyte,Erythroid,3,0.0017899761336515514
SCPCP000022,SCPCS000655,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,2,0.0011933174224343676
SCPCP000022,SCPCS000655,consensus_celltype_annotation,megakaryocyte,Other,2,0.0011933174224343676
SCPCP000022,SCPCS000655,consensus_celltype_annotation,naive B cell,B,1,0.0005966587112171838
SCPCP000022,SCPCS000655,consensus_celltype_annotation,mature alpha-beta T cell,TNK,1,0.0005966587112171838
SCPCP000022,SCPCS000655,consensus_celltype_annotation,lymphocyte of B lineage,B,1,0.0005966587112171838
SCPCP000022,SCPCS000655,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,1,0.0005966587112171838
SCPCP000022,SCPCS000655,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,mature T cell,TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,mature B cell,B,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,dendritic cell,Myeloid,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000655,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,Unknown,Unknown,72,0.8089887640449438
SCPCP000022,SCPCS000656,consensus_celltype_annotation,monocyte,Myeloid,3,0.033707865168539325
SCPCP000022,SCPCS000656,consensus_celltype_annotation,erythrocyte,Erythroid,3,0.033707865168539325
SCPCP000022,SCPCS000656,consensus_celltype_annotation,B cell,B,2,0.02247191011235955
SCPCP000022,SCPCS000656,consensus_celltype_annotation,T cell,TNK,2,0.02247191011235955
SCPCP000022,SCPCS000656,consensus_celltype_annotation,lymphocyte of B lineage,B,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,mature alpha-beta T cell,TNK,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,alpha-beta T cell,TNK,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,natural killer cell,TNK,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,memory B cell,B,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,1,0.011235955056179775
SCPCP000022,SCPCS000656,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,naive B cell,B,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,mature T cell,TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,mature B cell,B,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,erythroid lineage cell,Erythroid,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,dendritic cell,Myeloid,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,0,0.0
SCPCP000022,SCPCS000656,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,Unknown,Unknown,1873,0.9435768261964735
SCPCP000022,SCPCS000657,consensus_celltype_annotation,natural killer cell,TNK,27,0.013602015113350126
SCPCP000022,SCPCS000657,consensus_celltype_annotation,monocyte,Myeloid,23,0.011586901763224182
SCPCP000022,SCPCS000657,consensus_celltype_annotation,B cell,B,15,0.007556675062972292
SCPCP000022,SCPCS000657,consensus_celltype_annotation,erythroid lineage cell,Erythroid,12,0.006045340050377834
SCPCP000022,SCPCS000657,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,9,0.004534005037783375
SCPCP000022,SCPCS000657,consensus_celltype_annotation,erythrocyte,Erythroid,7,0.003526448362720403
SCPCP000022,SCPCS000657,consensus_celltype_annotation,naive B cell,B,7,0.003526448362720403
SCPCP000022,SCPCS000657,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,4,0.0020151133501259445
SCPCP000022,SCPCS000657,consensus_celltype_annotation,mature alpha-beta T cell,TNK,2,0.0010075566750629723
SCPCP000022,SCPCS000657,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,2,0.0010075566750629723
SCPCP000022,SCPCS000657,consensus_celltype_annotation,dendritic cell,Myeloid,1,0.0005037783375314861
SCPCP000022,SCPCS000657,consensus_celltype_annotation,mature T cell,TNK,1,0.0005037783375314861
SCPCP000022,SCPCS000657,consensus_celltype_annotation,platelet,Stromal,1,0.0005037783375314861
SCPCP000022,SCPCS000657,consensus_celltype_annotation,mature B cell,B,1,0.0005037783375314861
SCPCP000022,SCPCS000657,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000657,consensus_celltype_annotation,plasma cell,B,0,0.0
