project,n_samples,n_participants,n_cells,mean_frac_TNK,mean_frac_B,mean_frac_Myeloid,mean_frac_Progenitor,mean_frac_Erythroid,mean_frac_Stromal,mean_frac_Blast_Malignant,mean_frac_Unknown,mean_frac_Excluded,mean_frac_Other,mean_frac_known_broad,mean_frac_immune_stromal_total,mean_frac_ecology_total
SCPCP000008,98,93,1173508,0.02495932708603796,0.011142770942407775,0.005489359277180487,0.0020493939349587845,0.016313191980382957,0.0,0.3984555451985242,0.0,0.5415904115805078,0.0,0.45840958841949225,0.041591457305626224,0.05995404322096797
SCPCP000022,25,20,26367,0.05119781328405224,0.03699624109653537,0.010456844548928588,0.12338731401099383,0.05988647324291408,2.0151133501259446e-05,3.154574132492114e-05,0.717710792855969,0.0,0.0003128240857806822,0.2819763830582503,0.09867105006301745,0.2819448373169254
