,logit_frac_unknown,frac_T_logratio,frac_B_logratio,frac_myeloid_logratio,frac_NK_logratio
SCPCS000652,2.2618376627446675,1.9047115288308005,2.132472294508623,-0.3828389129871501,0.3570083004977813
SCPCS000653,1.3923951922988687,-0.4768675662234852,2.261025584322025,-0.3828389129871501,-2.4088477642250514
SCPCS000654,1.991696085771331,2.0482660893187594,-0.4106996121985848,2.387395522857821,0.4612750785183929
SCPCS000655,2.2291679812605443,2.288156299131969,2.767524794233261,3.269291340458192,0.915128372737621
SCPCS000656,1.9697413940507935,2.2726319729019653,2.7217712319605885,3.303227951603684,0.688104115756727
SCPCS000657,2.191921654621354,0.09939033935485486,0.4023057506289273,0.5868330240002168,-1.4794385541592734
SCPCS000658,2.3311583968743737,2.4074982050482676,-0.4106996121985848,-0.3828389129871501,1.0063255693416269
SCPCS000659,2.166764350607378,2.4513161522297438,2.1372300606256127,2.615381855074306,0.9485745880213792
SCPCS000660,2.1932121190188307,2.1149484564646364,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000661,1.7112805285360653,2.5179985193756176,-0.4106996121985848,2.903551271498134,-2.4088477642250514
SCPCS000662,1.578991124248539,1.7513815585991572,2.832298739840313,-0.3828389129871501,0.46879538837054024
SCPCS000664,1.8029349651323878,2.0459796026773014,2.167770139172803,-0.3828389129871501,0.199932905692959
SCPCS000665,1.6024787223813173,1.7830831362730446,2.869943125210251,3.110235822625854,-2.4088477642250514
SCPCS000666,1.9167375597327219,2.0667912932677224,2.272903583736873,2.7750327194630993,0.3953968803175658
SCPCS000668,2.0784729677919493,2.1610893774593567,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000670,2.207593235691441,2.079071656383505,-0.4106996121985848,2.554154213142225,0.8108615947170255
SCPCS000672,2.1065173956649224,2.329478705104501,2.7266530310760184,2.598885134132677,1.15000450328535
SCPCS000673,1.7362190813468101,1.679532239494627,2.9582059315697427,1.872156777606644,0.22401225807971467
SCPCS000674,2.053576904899287,2.3336222351098996,2.7069505709156685,-0.3828389129871501,0.6719857341694737
SCPCS000675,1.9241912377079027,2.0605578502515804,2.5692479297370965,3.0068927903302045,-2.4088477642250514
SCPCS000676,1.694876975770855,1.9334158480280823,2.116677256247062,1.8595629417472888,-0.3363640304385254
SCPCS000677,1.943769697535103,2.0974705326002487,1.8221856514619468,2.033170594575448,-0.17591150682525497
SCPCS000678,2.2667475304698774,2.113007488315142,2.4103556898614222,2.6015733895260666,0.3494205358176831
SCPCS000679,2.2566982304719025,1.979776615480391,2.169577052257438,2.318242370044101,0.2830229141749817
SCPCS000680,1.2792067346860276,0.6907133544238527,0.667661251287152,0.7853370579519522,-1.6269918657266234
SCPCS000124,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000125,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
