model,n_transitions,mae,rmse,mean_residual,coverage_50,coverage_80,coverage_95,pit_mean,pit_sd
M_0,207,0.2738813259616695,0.3332418149333858,0.0010935622674311,0.748792270531401,0.8405797101449275,0.8454106280193237,0.4559710144927536,0.2794247803857524
M_B,207,0.2635098310619889,0.3261107531005954,0.0006249992906308,0.5072463768115942,0.8405797101449275,0.932367149758454,0.4572312801932366,0.2760843807280115
M_C,207,0.2724068073065654,0.3320918401952634,0.0005481260058404,0.6038647342995169,0.8405797101449275,0.8647342995169082,0.4561962560386473,0.2778387471949011
M_E,207,0.2645433829008743,0.3264467936102169,-0.0019348025052751,0.5169082125603864,0.8502415458937198,0.9130434782608696,0.4580519323671497,0.2744358296501431
