model,n_participants,total_elpd,mean_participant_elpd,se_participant_elpd,mean_lpd_per_transition,total_test_transitions,n_folds_with_divergence,max_fold_rhat,min_fold_ess_bulk
M_B,34,-74.93501240066823,-2.2039709529608302,0.5607136095305922,-0.6155988101881013,207,0,1.01,727.0
M_E,34,-77.14661521529027,-2.269018094567361,0.5626866052605,-0.6002127173936724,207,0,1.01,882.0
M_0,34,-77.2297824572128,-2.271464189918024,0.4883844594659133,-0.636675052836904,207,0,1.01,446.0
M_S,34,-77.99853974149804,-2.294074698279354,0.5058259196212519,-0.6492249164471825,207,0,1.01,730.0
M_C,34,-79.44685131086997,-2.3366720973785284,0.5035382678505101,-0.6475450669353864,207,0,1.01,788.0
M_EC,34,-83.30300865203107,-2.4500884897656197,0.6625722127094835,-0.6162440593116773,207,0,1.01,762.0
