model,elpd_loo,se_elpd_loo,p_loo,n_pareto_gt_0_5,n_pareto_gt_0_7,n_pareto_gt_1_0,max_pareto_k
M_0,-76.89591679638961,15.973426748036767,6.002890455536544,1,1,1,1.06266061966774
M_B,-73.46691759618287,16.696167410429517,8.24973596117141,1,1,1,1.015911468011487
M_M,-77.97584058089541,15.890779436085813,7.555971020280197,1,1,0,0.8921701130809121
M_E,-74.68064344043978,17.755180871307996,11.47920954128088,2,1,1,1.032618239948657
M_C,-78.12640358919312,15.686055927904206,7.736341901793153,1,1,0,0.7517087590110222
M_EC,-77.2589968570475,18.255847257848327,14.397264921692027,3,2,1,1.1719039613484377
M_S,-77.15719682022265,16.06257951079099,8.174951292291851,1,1,0,0.778478474926482
