scenario,model,replicate,parameter,true_value,posterior_mean,hdi_low,hdi_high,error,squared_error,covered_95,divergences
null,M_0,0,mu_0,0.25,0.11930542147889983,-0.0825556688007291,0.2937174177263597,-0.13069457852110017,0.01708107285480802,1,0
null,M_0,0,theta_0,0.0,-0.24433461139129128,-0.6317198910184019,0.09122376772777727,-0.24433461139129128,0.05969940232373333,1,0
null,M_0,0,sigma_proc,0.3,0.30148989533188625,0.2732778279346105,0.3316284233775279,0.0014898953318862596,2.2197880999764677e-06,1,0
null,M_0,1,mu_0,0.25,0.05829109938757442,-0.16676461048406158,0.2681925147882806,-0.19170890061242557,0.03675230257402486,1,0
null,M_0,1,theta_0,0.0,-0.43442260814694206,-0.8367427594306015,-0.037293274514877864,-0.43442260814694206,0.18872300246919158,0,0
null,M_0,1,sigma_proc,0.3,0.28078443144776044,0.2540156660993416,0.311759788457956,-0.019215568552239548,0.0003692380747858175,1,0
null,M_0,2,mu_0,0.25,0.2967206909593074,0.1648942889627479,0.4238739202997152,0.04672069095930742,0.00218282296371511,1,0
null,M_0,2,theta_0,0.0,0.09748273986746782,-0.2955501661390327,0.43077373385092327,0.09748273986746782,0.0095028845720684,1,0
null,M_0,2,sigma_proc,0.3,0.32851376520997844,0.29589677155385535,0.3606679501590217,0.028513765209978448,0.0008130348064497773,1,0
null,M_0,3,mu_0,0.25,0.19209857941389966,0.03312494229580006,0.3413418814416235,-0.057901420586100344,0.003352574505888485,1,0
null,M_0,3,theta_0,0.0,-0.15783535240512037,-0.5292659467751144,0.14309803780258792,-0.15783535240512037,0.024911998468848534,1,0
null,M_0,3,sigma_proc,0.3,0.30692989242197977,0.2770703809613793,0.3392411510711741,0.0069298924219797775,4.8023408980212744e-05,1,0
null,M_0,4,mu_0,0.25,0.08383754298837215,-0.15309952602963964,0.26249352665748216,-0.16616245701162785,0.027609962120141072,1,0
null,M_0,4,theta_0,0.0,-0.2524746879178774,-0.6758395976005909,0.0981371727106198,-0.2524746879178774,0.0637434680392296,1,0
null,M_0,4,sigma_proc,0.3,0.28714813198920475,0.2582754612212665,0.3154347586205789,-0.012851868010795242,0.00016517051136690205,1,0
null,M_E,0,mu_0,0.25,0.29509492153743017,0.15943668653856533,0.4055002902453263,0.045094921537430166,0.002033551948466983,1,0
null,M_E,0,theta_0,0.0,0.09824014416950899,-0.2941646466461921,0.43542849766618447,0.09824014416950899,0.009651125926445911,1,0
null,M_E,0,sigma_proc,0.3,0.3247791215488555,0.29236066391785687,0.3577204822159822,0.02477912154885553,0.0006140048647329566,1,0
null,M_E,0,beta_mu_B_z,0.0,-0.0464322132057271,-0.16394292506118877,0.07344873457222294,-0.0464322132057271,0.002155950423182098,1,0
null,M_E,0,beta_mu_Myeloid_z,0.0,-0.03076177840266946,-0.1453040238504053,0.0778448135460628,-0.03076177840266946,0.0009462870104949413,1,0
null,M_E,0,beta_theta_B_z,0.0,-0.14839048578454786,-0.4728204655185931,0.18319183646940862,-0.14839048578454786,0.022019736271374102,1,0
null,M_E,0,beta_theta_Myeloid_z,0.0,-0.10638455309928335,-0.4108355792597853,0.1544517641934481,-0.10638455309928335,0.011317673138134239,1,0
null,M_E,1,mu_0,0.25,0.1884454198170729,-0.03222020819302043,0.3585939264187088,-0.06155458018292709,0.0037889663414964,1,0
null,M_E,1,theta_0,0.0,-0.21568016080970007,-0.6527889496434209,0.1706992737977625,-0.21568016080970007,0.04651793176689808,1,0
null,M_E,1,sigma_proc,0.3,0.30577453865882326,0.27310458743257454,0.3345774563660016,0.0057745386588232694,3.3345296722244445e-05,1,0
null,M_E,1,beta_mu_B_z,0.0,-0.04145614470988926,-0.21281415873559884,0.11297652009537448,-0.04145614470988926,0.0017186119342072791,1,0
null,M_E,1,beta_mu_Myeloid_z,0.0,-0.1037673613083652,-0.3240950623824892,0.16820022802363307,-0.1037673613083652,0.010767665272900807,1,0
null,M_E,1,beta_theta_B_z,0.0,0.05187090976884301,-0.2480203833859738,0.4154305959201696,0.05187090976884301,0.0026905912802474533,1,0
null,M_E,1,beta_theta_Myeloid_z,0.0,-0.24136176533377948,-0.5595936635788967,0.1692083950238082,-0.24136176533377948,0.05825550176503844,1,0
null,M_E,2,mu_0,0.25,0.1922637139026358,0.010176083382431362,0.34489286902841626,-0.0577362860973642,0.0033334787323166903,1,0
null,M_E,2,theta_0,0.0,-0.0849233246741877,-0.4180287135977001,0.2917402281594227,-0.0849233246741877,0.0072119710737174976,1,0
null,M_E,2,sigma_proc,0.3,0.3170282566554154,0.28513825399739295,0.3484930887522309,0.017028256655415408,0.00028996152472269914,1,0
null,M_E,2,beta_mu_B_z,0.0,0.10440223264607668,-0.05188820667240002,0.2707968133091322,0.10440223264607668,0.010899826181485519,1,0
null,M_E,2,beta_mu_Myeloid_z,0.0,0.04240522450362864,-0.10209685587631571,0.14151145514307445,0.04240522450362864,0.0017982030652031467,1,0
null,M_E,2,beta_theta_B_z,0.0,0.03615391183464591,-0.28998558198874347,0.35444154728184185,0.03615391183464591,0.0013071053409473498,1,0
null,M_E,2,beta_theta_Myeloid_z,0.0,0.0984758598325233,-0.23733021835555482,0.3565117379439807,0.0984758598325233,0.009697494969754776,1,0
null,M_E,3,mu_0,0.25,0.2919929686999679,0.1695365673090523,0.41285484603119393,0.04199296869996788,0.0017634094202364822,1,0
null,M_E,3,theta_0,0.0,0.11600189507225415,-0.2613317785410871,0.44303944308987975,0.11600189507225415,0.013456439660354263,1,0
null,M_E,3,sigma_proc,0.3,0.30749996669842894,0.2796928111607055,0.3382777678728859,0.00749996669842895,5.624950047754325e-05,1,0
null,M_E,3,beta_mu_B_z,0.0,-0.06309991282871869,-0.19722764986382918,0.07852234018869086,-0.06309991282871869,0.003981598998991897,1,0
null,M_E,3,beta_mu_Myeloid_z,0.0,0.030161206057534626,-0.07889816014160612,0.11613096446555796,0.030161206057534626,0.0009096983508450634,1,0
null,M_E,3,beta_theta_B_z,0.0,-0.11446445402477899,-0.455481273507652,0.1949060783959339,-0.11446445402477899,0.013102111235190743,1,0
null,M_E,3,beta_theta_Myeloid_z,0.0,-0.063442854536028,-0.45258791080165406,0.2276149953759561,-0.063442854536028,0.004024995791679609,1,0
null,M_E,4,mu_0,0.25,0.30767873611288005,0.210508410646876,0.3923542598899376,0.05767873611288005,0.0033268365995792527,1,0
null,M_E,4,theta_0,0.0,0.341249128909936,0.03935798435399217,0.609606078534627,0.341249128909936,0.1164509679817901,0,0
null,M_E,4,sigma_proc,0.3,0.29733387927730187,0.267434322721694,0.32528311771530666,-0.0026661207226981176,7.108199708000333e-06,1,0
