epsilon,n_participants,n_transitions,n_x_values_clipped_low,n_x_values_clipped_high,n_xprev_values_clipped_low,n_xprev_values_clipped_high,x_logit_min,x_logit_max,x_logit_mean,x_logit_sd,xprev_logit_min,xprev_logit_max
0.01,34,207,0,33,0,50,-2.9444389791664403,4.595119850134589,-0.6900043870983262,2.4578202656753008,-2.9444389791664403,4.595119850134589
0.025,34,207,0,33,0,50,-2.9444389791664403,3.6635616461296454,-0.8385136659976647,2.1401716600311564,-2.9444389791664403,3.6635616461296454
0.05,34,207,0,33,0,50,-2.9444389791664403,2.9444389791664394,-0.9531564100062921,1.9007100954714287,-2.9444389791664403,2.9444389791664394
